[omfg][info][1774660285331] hot config reloaded: path=/home/deck/post-proc-fg-research/logs/re-village-hot.toml; values=1
[omfg][info][1774660285331] vkNegotiateLoaderLayerInterfaceVersion ok; mode=passthrough
[omfg][info][1774660285334] vkCreateInstance ok; mode=passthrough; apiVersion=1.1.0
[omfg][info][1774660286689] hot config reloaded: path=/home/deck/post-proc-fg-research/logs/re-village-hot.toml; values=1
[omfg][info][1774660286689] vkNegotiateLoaderLayerInterfaceVersion ok; mode=passthrough
[omfg][info][1774660286692] vkCreateInstance ok; mode=passthrough; apiVersion=1.1.0
[omfg][info][1774660287719] vkNegotiateLoaderLayerInterfaceVersion ok; mode=passthrough
[omfg][info][1774660287721] vkCreateInstance ok; mode=passthrough; app=re8.exe; engine=DXVK; apiVersion=1.3.0
[omfg][info][1774660287890] vkNegotiateLoaderLayerInterfaceVersion ok; mode=passthrough
[omfg][info][1774660287891] vkCreateInstance ok; mode=passthrough; app=re8.exe; engine=vkd3d; apiVersion=1.3.0
[omfg][info][1774660288208] vkCreateDevice ok; gpu=AMD Custom GPU 0932 (RADV VANGOGH); presentId=1; presentWait=1; displayTiming=0
[omfg][info][1774660288227] vkDestroyDevice
[omfg][info][1774660288293] vkDestroyInstance
[omfg][info][1774660288308] vkNegotiateLoaderLayerInterfaceVersion ok; mode=passthrough
[omfg][info][1774660288310] vkCreateInstance ok; mode=passthrough; app=re8.exe; engine=vkd3d; apiVersion=1.3.0
[omfg][info][1774660288590] hot config reloaded: path=/home/deck/post-proc-fg-research/logs/re-village-hot.toml; values=1
[omfg][info][1774660288601] vkCreateDevice ok; gpu=AMD Custom GPU 0932 (RADV VANGOGH); presentId=1; presentWait=1; displayTiming=0
[omfg][info][1774660288614] vkNegotiateLoaderLayerInterfaceVersion ok; mode=blend-test
[omfg][info][1774660288615] vkCreateInstance ok; mode=blend-test; apiVersion=1.1.0
[omfg][info][1774660288720] vkDestroyInstance
[omfg][info][1774660289545] created history image for swapchain
[omfg][info][1774660289545] vkCreateSwapchainKHR ok; extent=1920x1080; format=64; presentMode=MAILBOX; minImages=3->5; usage=TRANSFER_SRC|STORAGE|COLOR_ATTACHMENT (0x19) -> TRANSFER_SRC|SAMPLED|STORAGE|COLOR_ATTACHMENT (0x1d); images=5; mode=blend-test
[omfg][info][1774660289549] vkQueuePresentKHR frame=1; queueFamily=0; imageIndex=0; waitSemaphores=1
[omfg][info][1774660289549] initialized injection resources for queue family 0
[omfg][info][1774660289549] initialized blend resources for swapchain
[omfg][info][1774660289549] blend primed previous frame history
[omfg][info][1774660289550] vkDestroySwapchainKHR
[omfg][info][1774660289555] created history image for swapchain
[omfg][info][1774660289555] vkCreateSwapchainKHR ok; extent=1280x800; format=64; presentMode=MAILBOX; minImages=3->5; usage=TRANSFER_SRC|STORAGE|COLOR_ATTACHMENT (0x19) -> TRANSFER_SRC|SAMPLED|STORAGE|COLOR_ATTACHMENT (0x1d); images=5; mode=blend-test
[omfg][info][1774660289555] vkQueuePresentKHR frame=1; queueFamily=0; imageIndex=0; waitSemaphores=1
[omfg][info][1774660289556] initialized injection resources for queue family 0
[omfg][info][1774660289556] initialized blend resources for swapchain
[omfg][info][1774660289557] blend primed previous frame history
[omfg][info][1774660289649] vkQueuePresentKHR frame=2; queueFamily=0; imageIndex=1; waitSemaphores=1
[omfg][info][1774660289649] first blended generated-frame present succeeded
[omfg][info][1774660289649] blended frame present=1; generatedImageIndex=2; currentImageIndex=1; originalFirst=0
[omfg][info][1774660289653] vkQueuePresentKHR frame=3; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774660289653] blended frame present=2; generatedImageIndex=4; currentImageIndex=3; originalFirst=0
[omfg][info][1774660289691] vkQueuePresentKHR frame=4; queueFamily=0; imageIndex=1; waitSemaphores=1
[omfg][info][1774660289691] blended frame present=3; generatedImageIndex=2; currentImageIndex=1; originalFirst=0
[omfg][info][1774660289692] vkQueuePresentKHR frame=5; queueFamily=0; imageIndex=4; waitSemaphores=1
[omfg][info][1774660289692] blended frame present=4; generatedImageIndex=3; currentImageIndex=4; originalFirst=0
[omfg][info][1774660289694] blended frame present=5; generatedImageIndex=1; currentImageIndex=2; originalFirst=0
[omfg][info][1774660290726] vkQueuePresentKHR frame=60; queueFamily=0; imageIndex=4; waitSemaphores=1
[omfg][info][1774660290735] blended frame present=60; generatedImageIndex=1; currentImageIndex=2; originalFirst=0
[omfg][info][1774660291069] vkQueuePresentKHR frame=120; queueFamily=0; imageIndex=1; waitSemaphores=1
[omfg][info][1774660291078] blended frame present=120; generatedImageIndex=2; currentImageIndex=0; originalFirst=0
[omfg][info][1774660291386] vkQueuePresentKHR frame=180; queueFamily=0; imageIndex=4; waitSemaphores=1
[omfg][info][1774660291396] blended frame present=180; generatedImageIndex=1; currentImageIndex=0; originalFirst=0
[omfg][info][1774660291818] vkQueuePresentKHR frame=240; queueFamily=0; imageIndex=4; waitSemaphores=1
[omfg][info][1774660291828] blended frame present=240; generatedImageIndex=0; currentImageIndex=2; originalFirst=0
[omfg][info][1774660292273] vkCreateDevice ok; gpu=AMD Custom GPU 0932 (RADV VANGOGH); presentId=1; presentWait=1; displayTiming=0
[omfg][info][1774660292323] vkQueuePresentKHR frame=300; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774660292339] blended frame present=300; generatedImageIndex=1; currentImageIndex=3; originalFirst=0
