[omfg][info][1774648186837] vkNegotiateLoaderLayerInterfaceVersion ok; mode=reproject-multi-blend-test
[omfg][info][1774648186839] vkCreateInstance ok; mode=reproject-multi-blend-test; apiVersion=1.1.0
[omfg][info][1774648186977] vkNegotiateLoaderLayerInterfaceVersion ok; mode=reproject-multi-blend-test
[omfg][info][1774648186978] vkCreateInstance ok; mode=reproject-multi-blend-test; apiVersion=1.1.0
[omfg][info][1774648188315] vkNegotiateLoaderLayerInterfaceVersion ok; mode=reproject-multi-blend-test
[omfg][info][1774648188318] vkCreateInstance ok; mode=reproject-multi-blend-test; apiVersion=1.1.0
[omfg][info][1774648189318] vkNegotiateLoaderLayerInterfaceVersion ok; mode=reproject-multi-blend-test
[omfg][info][1774648189320] vkCreateInstance ok; mode=reproject-multi-blend-test; app=re8.exe; engine=DXVK; apiVersion=1.3.0
[omfg][info][1774648189464] vkNegotiateLoaderLayerInterfaceVersion ok; mode=reproject-multi-blend-test
[omfg][info][1774648189466] vkCreateInstance ok; mode=reproject-multi-blend-test; app=re8.exe; engine=vkd3d; apiVersion=1.3.0
[omfg][info][1774648189766] vkCreateDevice ok; gpu=AMD Custom GPU 0932 (RADV VANGOGH); presentId=1; presentWait=1; displayTiming=0
[omfg][info][1774648189784] vkDestroyDevice
[omfg][info][1774648189785] vkDestroyInstance
[omfg][info][1774648189800] vkNegotiateLoaderLayerInterfaceVersion ok; mode=reproject-multi-blend-test
[omfg][info][1774648189801] vkCreateInstance ok; mode=reproject-multi-blend-test; app=re8.exe; engine=vkd3d; apiVersion=1.3.0
[omfg][info][1774648190084] vkCreateDevice ok; gpu=AMD Custom GPU 0932 (RADV VANGOGH); presentId=1; presentWait=1; displayTiming=0
[omfg][info][1774648190099] vkNegotiateLoaderLayerInterfaceVersion ok; mode=reproject-multi-blend-test
[omfg][info][1774648190100] vkCreateInstance ok; mode=reproject-multi-blend-test; apiVersion=1.1.0
[omfg][info][1774648190235] vkDestroyInstance
[omfg][info][1774648191426] created history image for swapchain
[omfg][info][1774648191426] vkCreateSwapchainKHR ok; extent=1274x775; format=44; presentMode=FIFO; minImages=3->6; usage=TRANSFER_SRC|STORAGE|COLOR_ATTACHMENT (0x19) -> TRANSFER_SRC|SAMPLED|STORAGE|COLOR_ATTACHMENT (0x1d); images=6; mode=reproject-multi-blend-test
[omfg][info][1774648191431] vkQueuePresentKHR frame=1; queueFamily=0; imageIndex=0; waitSemaphores=1
[omfg][info][1774648191431] initialized injection resources for queue family 0
[omfg][info][1774648191432] initialized blend resources for swapchain
[omfg][info][1774648191434] reproject-multi-blend primed previous frame history
[omfg][info][1774648191533] vkDestroySwapchainKHR
[omfg][info][1774648191538] created history image for swapchain
[omfg][info][1774648191538] vkCreateSwapchainKHR ok; extent=1280x787; format=44; presentMode=FIFO; minImages=3->6; usage=TRANSFER_SRC|STORAGE|COLOR_ATTACHMENT (0x19) -> TRANSFER_SRC|SAMPLED|STORAGE|COLOR_ATTACHMENT (0x1d); images=6; mode=reproject-multi-blend-test
[omfg][info][1774648191539] vkQueuePresentKHR frame=1; queueFamily=0; imageIndex=0; waitSemaphores=1
[omfg][info][1774648191540] initialized injection resources for queue family 0
[omfg][info][1774648191540] initialized blend resources for swapchain
[omfg][info][1774648191540] reproject-multi-blend primed previous frame history
[omfg][info][1774648191544] vkQueuePresentKHR frame=2; queueFamily=0; imageIndex=1; waitSemaphores=1
[omfg][info][1774648191576] first reproject multi blended generated-frame present succeeded
[omfg][info][1774648191577] reproject multi blended frame present=2; generatedImageIndices=[2, 3]; currentImageIndex=1; originalFirst=0
[omfg][info][1774648191580] vkQueuePresentKHR frame=3; queueFamily=0; imageIndex=4; waitSemaphores=1
[omfg][info][1774648191611] reproject multi blended frame present=4; generatedImageIndices=[5, 0]; currentImageIndex=4; originalFirst=0
[omfg][info][1774648191614] vkQueuePresentKHR frame=4; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648191644] reproject multi blended frame present=6; generatedImageIndices=[3, 1]; currentImageIndex=2; originalFirst=0
[omfg][info][1774648191645] vkQueuePresentKHR frame=5; queueFamily=0; imageIndex=5; waitSemaphores=1
[omfg][info][1774648193860] reproject multi blended frame present=60; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648194781] vkQueuePresentKHR frame=60; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774648194846] reproject multi blended frame present=120; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648195846] reproject multi blended frame present=180; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648196786] vkQueuePresentKHR frame=120; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774648196844] reproject multi blended frame present=240; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648197846] reproject multi blended frame present=300; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648198342] vkCreateDevice ok; gpu=AMD Custom GPU 0932 (RADV VANGOGH); presentId=1; presentWait=1; displayTiming=0
[omfg][info][1774648198836] vkQueuePresentKHR frame=180; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774648198902] reproject multi blended frame present=360; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648199902] reproject multi blended frame present=420; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648200835] vkQueuePresentKHR frame=240; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774648200901] reproject multi blended frame present=480; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648201901] reproject multi blended frame present=540; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648202837] vkQueuePresentKHR frame=300; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774648202901] reproject multi blended frame present=600; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648203901] reproject multi blended frame present=660; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648204836] vkQueuePresentKHR frame=360; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774648204901] reproject multi blended frame present=720; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648205901] reproject multi blended frame present=780; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648206836] vkQueuePresentKHR frame=420; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774648206901] reproject multi blended frame present=840; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648207901] reproject multi blended frame present=900; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
[omfg][info][1774648208836] vkQueuePresentKHR frame=480; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774648208901] reproject multi blended frame present=960; generatedImageIndices=[4, 5]; currentImageIndex=0; originalFirst=0
