[omfg][info][1774647269639] vkNegotiateLoaderLayerInterfaceVersion ok; mode=search-adaptive-blend-test
[omfg][info][1774647269641] vkCreateInstance ok; mode=search-adaptive-blend-test; apiVersion=1.1.0
[omfg][info][1774647269780] vkNegotiateLoaderLayerInterfaceVersion ok; mode=search-adaptive-blend-test
[omfg][info][1774647269782] vkCreateInstance ok; mode=search-adaptive-blend-test; apiVersion=1.1.0
[omfg][info][1774647271076] vkNegotiateLoaderLayerInterfaceVersion ok; mode=search-adaptive-blend-test
[omfg][info][1774647271079] vkCreateInstance ok; mode=search-adaptive-blend-test; apiVersion=1.1.0
[omfg][info][1774647272092] vkNegotiateLoaderLayerInterfaceVersion ok; mode=search-adaptive-blend-test
[omfg][info][1774647272094] vkCreateInstance ok; mode=search-adaptive-blend-test; app=re8.exe; engine=DXVK; apiVersion=1.3.0
[omfg][info][1774647272238] vkNegotiateLoaderLayerInterfaceVersion ok; mode=search-adaptive-blend-test
[omfg][info][1774647272239] vkCreateInstance ok; mode=search-adaptive-blend-test; app=re8.exe; engine=vkd3d; apiVersion=1.3.0
[omfg][info][1774647272537] vkCreateDevice ok; gpu=AMD Custom GPU 0932 (RADV VANGOGH); presentId=1; presentWait=1; displayTiming=0
[omfg][info][1774647272555] vkDestroyDevice
[omfg][info][1774647272556] vkDestroyInstance
[omfg][info][1774647272570] vkNegotiateLoaderLayerInterfaceVersion ok; mode=search-adaptive-blend-test
[omfg][info][1774647272572] vkCreateInstance ok; mode=search-adaptive-blend-test; app=re8.exe; engine=vkd3d; apiVersion=1.3.0
[omfg][info][1774647272855] vkCreateDevice ok; gpu=AMD Custom GPU 0932 (RADV VANGOGH); presentId=1; presentWait=1; displayTiming=0
[omfg][info][1774647272870] vkNegotiateLoaderLayerInterfaceVersion ok; mode=search-adaptive-blend-test
[omfg][info][1774647272871] vkCreateInstance ok; mode=search-adaptive-blend-test; apiVersion=1.1.0
[omfg][info][1774647273007] vkDestroyInstance
[omfg][info][1774647274172] created history image for swapchain
[omfg][info][1774647274172] vkCreateSwapchainKHR ok; extent=1286x787; format=44; presentMode=FIFO; minImages=3->5; usage=TRANSFER_SRC|STORAGE|COLOR_ATTACHMENT (0x19) -> TRANSFER_SRC|SAMPLED|STORAGE|COLOR_ATTACHMENT (0x1d); images=5; mode=search-adaptive-blend-test
[omfg][info][1774647274176] vkQueuePresentKHR frame=1; queueFamily=0; imageIndex=0; waitSemaphores=1
[omfg][info][1774647274177] initialized injection resources for queue family 0
[omfg][info][1774647274177] initialized blend resources for swapchain
[omfg][info][1774647274179] search-adaptive-blend primed previous frame history
[omfg][info][1774647274283] vkDestroySwapchainKHR
[omfg][info][1774647274288] created history image for swapchain
[omfg][info][1774647274288] vkCreateSwapchainKHR ok; extent=1280x787; format=44; presentMode=FIFO; minImages=3->5; usage=TRANSFER_SRC|STORAGE|COLOR_ATTACHMENT (0x19) -> TRANSFER_SRC|SAMPLED|STORAGE|COLOR_ATTACHMENT (0x1d); images=5; mode=search-adaptive-blend-test
[omfg][info][1774647274289] vkQueuePresentKHR frame=1; queueFamily=0; imageIndex=0; waitSemaphores=1
[omfg][info][1774647274289] initialized injection resources for queue family 0
[omfg][info][1774647274290] initialized blend resources for swapchain
[omfg][info][1774647274290] search-adaptive-blend primed previous frame history
[omfg][info][1774647274294] vkQueuePresentKHR frame=2; queueFamily=0; imageIndex=1; waitSemaphores=1
[omfg][info][1774647274295] first search adaptive blended generated-frame present succeeded
[omfg][info][1774647274295] search adaptive blended frame present=1; generatedImageIndex=2; currentImageIndex=1; originalFirst=0
[omfg][info][1774647274325] vkQueuePresentKHR frame=3; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774647274326] search adaptive blended frame present=2; generatedImageIndex=4; currentImageIndex=3; originalFirst=0
[omfg][info][1774647274328] vkQueuePresentKHR frame=4; queueFamily=0; imageIndex=0; waitSemaphores=1
[omfg][info][1774647274329] search adaptive blended frame present=3; generatedImageIndex=2; currentImageIndex=0; originalFirst=0
[omfg][info][1774647274330] vkQueuePresentKHR frame=5; queueFamily=0; imageIndex=1; waitSemaphores=1
[omfg][info][1774647274331] search adaptive blended frame present=4; generatedImageIndex=4; currentImageIndex=1; originalFirst=0
[omfg][info][1774647274351] search adaptive blended frame present=5; generatedImageIndex=2; currentImageIndex=3; originalFirst=0
[omfg][info][1774647276572] vkQueuePresentKHR frame=60; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774647276607] search adaptive blended frame present=60; generatedImageIndex=4; currentImageIndex=0; originalFirst=0
[omfg][info][1774647277905] vkQueuePresentKHR frame=120; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774647277940] search adaptive blended frame present=120; generatedImageIndex=4; currentImageIndex=0; originalFirst=0
