[omfg][info][1774648729661] vkNegotiateLoaderLayerInterfaceVersion ok; mode=passthrough
[omfg][info][1774648729664] vkCreateInstance ok; mode=passthrough; apiVersion=1.1.0
[omfg][info][1774648729761] vkNegotiateLoaderLayerInterfaceVersion ok; mode=passthrough
[omfg][info][1774648729763] vkCreateInstance ok; mode=passthrough; apiVersion=1.1.0
[omfg][info][1774648732144] vkNegotiateLoaderLayerInterfaceVersion ok; mode=passthrough
[omfg][info][1774648732147] vkCreateInstance ok; mode=passthrough; app=SB-Win64-Shipping.exe; engine=DXVK; apiVersion=1.3.0
[omfg][info][1774648733351] vkNegotiateLoaderLayerInterfaceVersion ok; mode=passthrough
[omfg][info][1774648733353] vkCreateInstance ok; mode=passthrough; app=SB-Win64-Shipping.exe; engine=vkd3d; apiVersion=1.3.0
[omfg][info][1774648733635] vkCreateDevice ok; gpu=AMD Custom GPU 0932 (RADV VANGOGH); presentId=1; presentWait=1; displayTiming=0
[omfg][info][1774648733663] vkNegotiateLoaderLayerInterfaceVersion ok; mode=passthrough
[omfg][info][1774648733665] vkCreateInstance ok; mode=passthrough; apiVersion=1.1.0
[omfg][info][1774648733750] vkDestroyDevice
[omfg][info][1774648733750] vkDestroyInstance
[omfg][info][1774648733775] vkNegotiateLoaderLayerInterfaceVersion ok; mode=passthrough
[omfg][info][1774648733777] vkCreateInstance ok; mode=passthrough; app=SB-Win64-Shipping.exe; engine=vkd3d; apiVersion=1.3.0
[omfg][info][1774648734006] vkCreateDevice ok; gpu=AMD Custom GPU 0932 (RADV VANGOGH); presentId=1; presentWait=1; displayTiming=0
[omfg][info][1774648734755] vkCreateSwapchainKHR ok; extent=1280x800; format=44; presentMode=FIFO; minImages=3->3; usage=TRANSFER_SRC|STORAGE|COLOR_ATTACHMENT (0x19) -> TRANSFER_SRC|STORAGE|COLOR_ATTACHMENT (0x19); images=3; mode=passthrough
[omfg][info][1774648734762] vkQueuePresentKHR passthrough frame=1; queueFamily=0; imageIndex=0; waitSemaphores=1
[omfg][info][1774648738549] vkDestroySwapchainKHR
[omfg][info][1774648738552] vkCreateSwapchainKHR ok; extent=1280x800; format=44; presentMode=FIFO; minImages=3->3; usage=TRANSFER_SRC|STORAGE|COLOR_ATTACHMENT (0x19) -> TRANSFER_SRC|STORAGE|COLOR_ATTACHMENT (0x19); images=3; mode=passthrough
[omfg][info][1774648738554] vkQueuePresentKHR passthrough frame=1; queueFamily=0; imageIndex=0; waitSemaphores=1
[omfg][info][1774648738558] vkQueuePresentKHR passthrough frame=2; queueFamily=0; imageIndex=1; waitSemaphores=1
[omfg][info][1774648738571] vkQueuePresentKHR passthrough frame=3; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648738589] vkQueuePresentKHR passthrough frame=4; queueFamily=0; imageIndex=0; waitSemaphores=1
[omfg][info][1774648738602] vkQueuePresentKHR passthrough frame=5; queueFamily=0; imageIndex=1; waitSemaphores=1
[omfg][info][1774648741114] vkQueuePresentKHR passthrough frame=60; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648741616] vkQueuePresentKHR passthrough frame=120; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648742161] vkQueuePresentKHR passthrough frame=180; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648742725] vkQueuePresentKHR passthrough frame=240; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648743290] vkQueuePresentKHR passthrough frame=300; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648743896] vkQueuePresentKHR passthrough frame=360; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648744483] vkQueuePresentKHR passthrough frame=420; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648745136] vkQueuePresentKHR passthrough frame=480; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648745713] vkQueuePresentKHR passthrough frame=540; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648746261] vkQueuePresentKHR passthrough frame=600; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648746728] vkQueuePresentKHR passthrough frame=660; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648747194] vkQueuePresentKHR passthrough frame=720; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648747630] vkQueuePresentKHR passthrough frame=780; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648748057] vkQueuePresentKHR passthrough frame=840; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648748462] vkQueuePresentKHR passthrough frame=900; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648748938] vkQueuePresentKHR passthrough frame=960; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648749294] vkQueuePresentKHR passthrough frame=1020; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648749621] vkQueuePresentKHR passthrough frame=1080; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648750555] vkQueuePresentKHR passthrough frame=1140; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648751199] vkQueuePresentKHR passthrough frame=1200; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648751744] vkQueuePresentKHR passthrough frame=1260; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648752924] vkQueuePresentKHR passthrough frame=1320; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648753407] vkQueuePresentKHR passthrough frame=1380; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648753835] vkQueuePresentKHR passthrough frame=1440; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648754236] vkQueuePresentKHR passthrough frame=1500; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648754620] vkQueuePresentKHR passthrough frame=1560; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648755045] vkQueuePresentKHR passthrough frame=1620; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648755501] vkQueuePresentKHR passthrough frame=1680; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648755953] vkQueuePresentKHR passthrough frame=1740; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648756344] vkQueuePresentKHR passthrough frame=1800; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648756729] vkQueuePresentKHR passthrough frame=1860; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648757126] vkQueuePresentKHR passthrough frame=1920; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648757529] vkQueuePresentKHR passthrough frame=1980; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648757916] vkQueuePresentKHR passthrough frame=2040; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648758303] vkQueuePresentKHR passthrough frame=2100; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648758688] vkQueuePresentKHR passthrough frame=2160; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648759084] vkQueuePresentKHR passthrough frame=2220; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648759472] vkQueuePresentKHR passthrough frame=2280; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648759868] vkQueuePresentKHR passthrough frame=2340; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648760258] vkQueuePresentKHR passthrough frame=2400; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648760653] vkQueuePresentKHR passthrough frame=2460; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648761047] vkQueuePresentKHR passthrough frame=2520; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648761440] vkQueuePresentKHR passthrough frame=2580; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648761831] vkQueuePresentKHR passthrough frame=2640; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648762220] vkQueuePresentKHR passthrough frame=2700; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648762614] vkQueuePresentKHR passthrough frame=2760; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648763008] vkQueuePresentKHR passthrough frame=2820; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648763400] vkQueuePresentKHR passthrough frame=2880; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648763797] vkQueuePresentKHR passthrough frame=2940; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648764185] vkQueuePresentKHR passthrough frame=3000; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648764576] vkQueuePresentKHR passthrough frame=3060; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648764981] vkQueuePresentKHR passthrough frame=3120; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648765379] vkQueuePresentKHR passthrough frame=3180; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648765770] vkQueuePresentKHR passthrough frame=3240; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648766168] vkQueuePresentKHR passthrough frame=3300; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648766564] vkQueuePresentKHR passthrough frame=3360; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648766952] vkQueuePresentKHR passthrough frame=3420; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648767352] vkQueuePresentKHR passthrough frame=3480; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648767743] vkQueuePresentKHR passthrough frame=3540; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648768130] vkQueuePresentKHR passthrough frame=3600; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648768515] vkQueuePresentKHR passthrough frame=3660; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648768914] vkQueuePresentKHR passthrough frame=3720; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648769313] vkQueuePresentKHR passthrough frame=3780; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648769703] vkQueuePresentKHR passthrough frame=3840; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648770094] vkQueuePresentKHR passthrough frame=3900; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648770474] vkQueuePresentKHR passthrough frame=3960; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648770869] vkQueuePresentKHR passthrough frame=4020; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648771252] vkQueuePresentKHR passthrough frame=4080; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648771651] vkQueuePresentKHR passthrough frame=4140; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648772037] vkQueuePresentKHR passthrough frame=4200; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648772436] vkQueuePresentKHR passthrough frame=4260; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648772829] vkQueuePresentKHR passthrough frame=4320; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648773225] vkQueuePresentKHR passthrough frame=4380; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648773621] vkQueuePresentKHR passthrough frame=4440; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648774013] vkQueuePresentKHR passthrough frame=4500; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648774400] vkQueuePresentKHR passthrough frame=4560; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648774788] vkQueuePresentKHR passthrough frame=4620; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648775186] vkQueuePresentKHR passthrough frame=4680; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648775580] vkQueuePresentKHR passthrough frame=4740; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648775974] vkQueuePresentKHR passthrough frame=4800; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648776370] vkQueuePresentKHR passthrough frame=4860; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648776768] vkQueuePresentKHR passthrough frame=4920; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648777161] vkQueuePresentKHR passthrough frame=4980; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648777551] vkQueuePresentKHR passthrough frame=5040; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648777948] vkQueuePresentKHR passthrough frame=5100; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648778343] vkQueuePresentKHR passthrough frame=5160; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648778728] vkQueuePresentKHR passthrough frame=5220; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648779119] vkQueuePresentKHR passthrough frame=5280; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648779509] vkQueuePresentKHR passthrough frame=5340; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648779908] vkQueuePresentKHR passthrough frame=5400; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648780300] vkQueuePresentKHR passthrough frame=5460; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648780695] vkQueuePresentKHR passthrough frame=5520; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648781086] vkQueuePresentKHR passthrough frame=5580; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648781485] vkQueuePresentKHR passthrough frame=5640; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648781873] vkQueuePresentKHR passthrough frame=5700; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648782264] vkQueuePresentKHR passthrough frame=5760; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648782649] vkQueuePresentKHR passthrough frame=5820; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648783045] vkQueuePresentKHR passthrough frame=5880; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648783433] vkQueuePresentKHR passthrough frame=5940; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648783834] vkQueuePresentKHR passthrough frame=6000; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648784218] vkQueuePresentKHR passthrough frame=6060; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648784608] vkQueuePresentKHR passthrough frame=6120; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648785002] vkQueuePresentKHR passthrough frame=6180; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648785392] vkQueuePresentKHR passthrough frame=6240; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648785790] vkQueuePresentKHR passthrough frame=6300; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648786190] vkQueuePresentKHR passthrough frame=6360; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648786581] vkQueuePresentKHR passthrough frame=6420; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648786974] vkQueuePresentKHR passthrough frame=6480; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648787371] vkQueuePresentKHR passthrough frame=6540; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648787765] vkQueuePresentKHR passthrough frame=6600; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648788159] vkQueuePresentKHR passthrough frame=6660; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648788548] vkQueuePresentKHR passthrough frame=6720; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648788939] vkQueuePresentKHR passthrough frame=6780; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648789330] vkQueuePresentKHR passthrough frame=6840; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648789721] vkQueuePresentKHR passthrough frame=6900; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648790123] vkQueuePresentKHR passthrough frame=6960; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648790515] vkQueuePresentKHR passthrough frame=7020; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648790902] vkQueuePresentKHR passthrough frame=7080; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648791298] vkQueuePresentKHR passthrough frame=7140; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648791691] vkQueuePresentKHR passthrough frame=7200; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648792082] vkQueuePresentKHR passthrough frame=7260; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648792474] vkQueuePresentKHR passthrough frame=7320; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648792866] vkQueuePresentKHR passthrough frame=7380; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648793269] vkQueuePresentKHR passthrough frame=7440; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648793655] vkQueuePresentKHR passthrough frame=7500; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648794054] vkQueuePresentKHR passthrough frame=7560; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648794450] vkQueuePresentKHR passthrough frame=7620; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648794836] vkQueuePresentKHR passthrough frame=7680; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648795232] vkQueuePresentKHR passthrough frame=7740; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648795622] vkQueuePresentKHR passthrough frame=7800; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648796025] vkQueuePresentKHR passthrough frame=7860; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648796410] vkQueuePresentKHR passthrough frame=7920; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648796813] vkQueuePresentKHR passthrough frame=7980; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648797213] vkQueuePresentKHR passthrough frame=8040; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648797608] vkQueuePresentKHR passthrough frame=8100; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648798000] vkQueuePresentKHR passthrough frame=8160; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648798392] vkQueuePresentKHR passthrough frame=8220; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648798783] vkQueuePresentKHR passthrough frame=8280; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648799173] vkQueuePresentKHR passthrough frame=8340; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648799567] vkQueuePresentKHR passthrough frame=8400; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648799957] vkQueuePresentKHR passthrough frame=8460; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648800355] vkQueuePresentKHR passthrough frame=8520; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648800746] vkQueuePresentKHR passthrough frame=8580; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648801133] vkQueuePresentKHR passthrough frame=8640; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648801526] vkQueuePresentKHR passthrough frame=8700; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648801921] vkQueuePresentKHR passthrough frame=8760; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648802311] vkQueuePresentKHR passthrough frame=8820; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648802708] vkQueuePresentKHR passthrough frame=8880; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648803096] vkQueuePresentKHR passthrough frame=8940; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648803488] vkQueuePresentKHR passthrough frame=9000; queueFamily=0; imageIndex=2; waitSemaphores=1
[omfg][info][1774648803883] vkQueuePresentKHR passthrough frame=9060; queueFamily=0; imageIndex=2; waitSemaphores=1
